,Platform,Firm,Released[2],Units sold,Ref.
0,PlayStation 2,Sony,2000,>155 million,[note 1]
1,Nintendo DS,Nintendo,2004,154.02 million,[17]
2,"Game Boy, Game Boy Color",Nintendo,"1989, 1998",118.69 million,[note 2]
3,PlayStation 4 #,Sony,2013,110.4 million,[32]
4,PlayStation,Sony,1994,102.49 million,[33]
5,Wii,Nintendo,2006,101.63 million,[17]
6,PlayStation 3,Sony,2006,>87.4 million,[note 1]
7,Xbox 360,Microsoft,2005,>84 million,[note 3]
8,Game Boy Advance,Nintendo,2001,81.51 million,[17]
9,PlayStation Portable,Sony,2004,80–82 million(estimate),[note 1]
10,Nintendo 3DS #,Nintendo,2011,75.77 million,[40]
11,Nintendo Entertainment System,Nintendo,1983,61.91 million,[17]
12,Nintendo Switch #,Nintendo,2017,55.77 million,[40]
13,Super Nintendo Entertainment System,Nintendo,1990,49.1 million,[17]
14,Xbox One #,Microsoft,2013,46.9 million(estimate),[note 3]
15,Sega Genesis,Sega,1988,35 million,[note 4][41]
16,Nintendo 64,Nintendo,1996,32.93 million,[17]
17,Atari 2600,Atari,1977,30 million,[42]
18,Xbox,Microsoft,2001,24 million,[43]
19,GameCube,Nintendo,2001,21.74 million,[17]
20,Wii U,Nintendo,2012,13.56 million,[17]
21,Sega Game Gear,Sega,1990,10.62 million,[44]
22,PlayStation Vita,Sony,2011,10–15 million(estimate),[note 1]
23,Master System,Sega,1986,10–13 million,[note 5]
24,TurboGrafx-16,NEC/Hudson Soft[note 6],1987,10 million,[52]
25,Sega Saturn,Sega,1994,9.26 million,[53]
26,Dreamcast,Sega,1998,9.13 million,[53][54][55][56]
27,Super NES Classic Edition,Nintendo,2017,5.28 million,[57]
28,Sega Pico,Sega,1993,>3.4 million,[note 7]
29,WonderSwan,Bandai,1999,3.5 million,[note 8]
30,Color TV-Game,Nintendo,1977,3 million,[66][67]
31,Intellivision,Mattel,1980,3 million,[68]
32,N-Gage,Nokia,2003,3 million,[69]
33,NES Classic Edition,Nintendo,2016,2.3 million,[70]
34,ColecoVision,Coleco,1982,>2 million,[note 9]
35,Magnavox Odyssey²,Magnavox/Philips,1978,2 million,[74]
36,Atari Lynx,Atari,1989,>1 million,[note 10]
37,Philips CD-i,Philips,1991,>1 million,[note 11]
38,Telstar,Coleco,1976,>1 million,[79][note 12]
39,Atari 5200,Atari,1982,1 million,[81]
